----------- single_objective_10Cent_50 -----------
-------------------- 1 ---------------------
log: gen	nevals	mean  	min	max
68 	67    	321.6 	306	504
69 	71    	330.12	306	621
70 	79    	317.52	306	490
71 	71    	320.84	306	504
72 	69    	320.85	306	504
73 	69    	320.6 	306	490
74 	69    	327.42	306	570
75 	59    	319.19	306	475
76 	69    	322.06	306	565
77 	74    	324.15	306	535
78 	56    	321.07	306	521
79 	69    	328.75	306	605
80 	77    	320.15	306	468
81 	72    	318.88	306	491
82 	73    	319.26	306	645
83 	68    	335.91	306	511
84 	77    	321.74	306	535
85 	70    	323.13	306	589
86 	65    	314.73	306	484
87 	71    	324.84	306	490
88 	78    	327.93	306	567
89 	71    	318.71	306	484
90 	73    	321.4 	306	572
91 	72    	323.31	306	609
92 	71    	320   	306	522
93 	73    	330.83	306	523
94 	64    	322.95	306	508
95 	70    	320.89	306	554
96 	75    	322.17	306	549
97 	65    	317.23	306	505
98 	78    	326.38	306	607
99 	74    	320.9 	306	502
100	67    	326.4 	306	509
-------------------- 7 ---------------------
log: gen	nevals	mean  	min	max
0  	100   	539.35	419	679
1  	76    	502.16	402	621
2  	70    	480.98	387	633
3  	62    	451.66	380	572
4  	66    	437.4 	373	574
5  	83    	435.15	372	573
6  	61    	413.59	337	594
7  	67    	405.42	337	543
8  	63    	399.6 	337	580
9  	67    	373.24	324	572
10 	65    	356.94	324	518
11 	78    	359   	324	541
12 	70    	352.56	324	579
13 	69    	358.54	324	573
14 	64    	360.43	324	531
15 	70    	352.63	324	521
16 	73    	349.69	311	556
17 	71    	338.43	311	498
18 	70    	334.03	311	498
19 	71    	331.34	311	512
20 	66    	324.16	311	500
21 	74    	334.52	311	509
22 	72    	335.57	311	510
23 	65    	328.95	311	610
24 	82    	337.67	311	641
25 	60    	319.02	311	589
26 	70    	340.04	311	602
27 	66    	319.78	311	471
28 	61    	320.62	311	443
29 	73    	322.46	311	580
30 	70    	330.88	311	565
31 	71    	321.98	311	546
32 	80    	329.48	311	513
33 	74    	326.56	311	509
34 	63    	323.26	311	539
35 	70    	323.28	311	540
36 	67    	327.75	311	546
37 	62    	320.22	311	544
38 	69    	341.89	311	609
39 	66    	321.47	311	489
40 	68    	322.2 	311	502
41 	70    	330.5 	311	541
42 	64    	324.13	311	502
43 	77    	325.2 	311	481
44 	64    	330.92	311	565
45 	62    	328.36	311	547
46 	62    	331.95	311	558
47 	68    	337.76	311	524
48 	66    	329.04	311	516
49 	78    	330.18	311	600
50 	70    	324.67	311	565
51 	66    	329.4 	311	522
52 	69    	332.25	311	583
53 	62    	328.88	311	550
54 	65    	327.58	311	524
55 	68    	322.8 	311	550
56 	76    	333.76	311	600
57 	70    	321.84	311	490
58 	74    	335.04	311	545
59 	63    	328.83	311	528
60 	71    	333.86	311	556
61 	77    	338.62	311	610
62 	63    	323.42	311	542
63 	60    	334.84	311	600
64 	72    	327.45	311	502
65 	73    	331.14	311	607
66 	82    	330.72	311	509
67 	75    	328.67	311	590
68 	65    	331.4 	311	565
69 	66    	324.95	311	489
70 	69    	324.9 	311	473
71 	68    	329.86	311	581
72 	79    	325.56	311	489
73 	59    	322.45	311	548
74 	74    	325.89	311	495
75 	73    	326.07	311	509
76 	62    	324.4 	311	509
77 	85    	332.81	311	565
78 	65    	323.83	311	510
79 	74    	327.79	311	508
80 	65    	329.36	311	565
81 	76    	320.55	311	468
82 	74    	332.99	311	571
83 	68    	327.75	311	509
84 	72    	325.65	311	538
85 	69    	332.12	311	511
86 	64    	321.15	311	480
87 	67    	317.52	311	453
88 	70    	326.64	311	489
89 	67    	326.48	311	514
90 	64    	322.46	311	472
91 	67    	321.41	311	471
92 	75    	325.2 	311	537
93 	74    	329.52	311	542
94 	71    	331.82	311	529
95 	63    	321.73	311	528
96 	69    	327.96	311	551
97 	63    	328.74	311	509
98 	64    	321.71	311	589
99 	71    	321.88	311	488
100	76    	331.83	311	528
-------------------- 8 ---------------------
log: gen	nevals	mean  	min	max
0  	100   	549.59	435	678
1  	63    	505.66	412	597
2  	65    	479.67	412	573
3  	63    	451.97	368	567
4  	64    	436.27	345	560
5  	72    	432.87	339	593
6  	66    	418.2 	339	542
7  	75    	416.5 	311	542
8  	75    	417.3 	339	603
9  	75    	391.45	311	562
10 	71    	378.95	311	580
11 	81    	372.56	311	502
12 	77    	353.39	306	548
13 	67    	341.5 	306	598
14 	72    	328.13	306	510
15 	63    	325.38	306	495
16 	75    	337.57	306	531
17 	76    	331.04	306	659
18 	72    	323.5 	306	494
19 	72    	322.63	306	526
20 	78    	322.76	306	493
21 	67    	326.49	306	554
22 	59    	313.59	306	480
23 	75    	317.19	306	597
24 	85    	325.46	306	516
25 	71    	330.17	306	504
26 	59    	322.32	306	504
27 	70    	322.08	306	594
28 	66    	329.91	306	603
29 	78    	319.31	306	581
30 	80    	318.02	306	497
31 	75    	327.08	306	504
32 	68    	327.1 	306	533
33 	80    	323.42	306	651
34 	77    	327.83	306	555
35 	76    	329.12	306	570
36 	68    	323.52	306	497
37 	73    	325.91	306	487
38 	73    	324.9 	306	607
39 	61    	319.64	306	504
40 	63    	315.99	306	497
41 	63    	324.56	306	569
42 	68    	326.47	306	490
43 	65    	316.32	306	510
44 	67    	321.93	306	487
45 	59    	322.12	306	553
46 	68    	335.95	306	585
47 	73    	317.2 	306	520
48 	72    	323.02	306	490
49 	80    	317.36	306	461
50 	72    	316.82	306	471
51 	68    	331.03	306	507
52 	61    	322.7 	306	566
53 	70    	321.03	306	514
54 	82    	318.86	306	524
55 	73    	322.42	306	490
56 	78    	326.23	306	510
57 	68    	319.8 	306	492
58 	62    	321.69	306	504
59 	63    	318.44	306	566
60 	66    	319.5 	306	490
61 	77    	331.86	306	598
62 	71    	321.01	306	525
63 	63    	320.63	306	536
64 	69    	326.8 	306	539
65 	73    	324.36	306	526
66 	65    	328.9 	306	539
67 	68    	321.89	306	497
68 	74    	323.35	306	517
69 	61    	327.15	306	499
70 	61    	322.19	306	510
71 	68    	327.19	306	582
72 	79    	327.52	306	535
73 	70    	317.92	306	506
74 	75    	320.8 	306	508
75 	66    	324.42	306	588
76 	78    	322.52	306	592
77 	62    	321.48	306	536
78 	79    	327.17	306	553
79 	76    	323.47	306	521
80 	81    	325.48	306	530
81 	70    	322.61	306	567
82 	71    	320.75	306	515
83 	69    	316.71	306	438
84 	69    	318.08	306	572
85 	67    	315.88	306	504
86 	72    	318.65	306	532
87 	72    	322.31	306	523
88 	74    	325.27	306	563
89 	69    	324.34	306	504
90 	64    	322.32	306	555
91 	70    	321.53	306	509
92 	74    	320.21	306	471
93 	76    	323.15	306	579
94 	61    	319.59	306	490
95 	82    	325.89	306	540
96 	68    	324.33	306	579
97 	61    	322.86	306	529
98 	63    	328.57	306	563
99 	72    	333.38	306	501
100	73    	333.97	306	540
-------------------- 9 ---------------------
log: gen	nevals	mean  	min	max
0  	100   	554.36	444	646
