----------- single_objective_10Cent_50 -----------
-------------------- 1 ---------------------
log: gen	nevals	mean  	min	max
92 	94    	329.12	306	574
93 	90    	340.73	306	612
94 	93    	340.91	306	537
95 	92    	345.6 	306	604
96 	92    	346.43	306	526
97 	91    	323.26	306	480
98 	92    	335.27	306	504
99 	87    	337.61	306	553
100	96    	343.22	306	532
-------------------- 7 ---------------------
log: gen	nevals	mean  	min	max
0  	100   	548.53	442	664
1  	96    	521.36	427	650
2  	91    	504.32	382	633
3  	90    	475.56	382	586
4  	93    	465.21	368	576
5  	89    	457.6 	382	609
6  	95    	445.92	378	626
7  	93    	450.37	357	600
8  	97    	452.93	357	620
9  	93    	436.58	337	581
10 	92    	436.92	319	622
11 	92    	425.35	319	592
12 	94    	405.51	319	581
13 	94    	397.67	319	595
14 	89    	378.71	306	528
15 	96    	378.94	306	577
16 	90    	362.83	306	527
17 	96    	358.7 	306	641
18 	87    	343.79	306	500
19 	91    	342.58	306	512
20 	87    	331.95	306	572
21 	89    	327.4 	306	514
22 	96    	338.03	306	578
23 	95    	328.84	306	532
24 	94    	330.14	306	572
25 	88    	329.94	306	497
26 	92    	337.99	306	533
27 	90    	330.89	306	540
28 	93    	327.87	306	481
29 	84    	334.16	306	535
30 	89    	339.25	306	490
31 	88    	334.32	306	566
32 	88    	336.25	306	615
33 	91    	336.31	306	523
34 	93    	352.66	306	600
35 	84    	335.88	306	544
36 	91    	331.98	306	583
37 	88    	339.36	306	570
38 	86    	327.11	306	516
39 	92    	335.1 	306	543
40 	91    	349.33	306	603
41 	92    	338.32	306	490
42 	86    	327.73	306	536
43 	90    	336.1 	306	540
44 	90    	341.06	306	553
45 	90    	324.28	306	574
46 	90    	331.26	306	492
47 	94    	337.84	306	568
48 	92    	337.12	306	574
49 	90    	331.21	306	506
50 	86    	340.98	306	544
51 	92    	333.06	306	605
52 	96    	331.31	306	494
53 	91    	336.45	306	569
54 	96    	346.98	306	505
55 	88    	331.23	306	497
56 	88    	335.6 	306	521
57 	84    	338.75	306	549
58 	85    	332.02	306	632
59 	90    	333.51	306	545
60 	86    	334.63	306	490
61 	91    	340.27	306	652
62 	89    	341.93	306	589
63 	91    	328.37	306	581
64 	75    	323.98	306	615
65 	85    	335.69	306	619
66 	93    	331.7 	306	566
67 	91    	334.14	306	525
68 	94    	351.11	306	536
69 	94    	340.85	306	510
70 	93    	344.34	306	553
71 	90    	331.71	306	489
72 	88    	337.76	306	521
73 	90    	334.02	306	499
74 	95    	341.2 	306	659
75 	94    	335.01	306	497
76 	94    	340.4 	306	521
77 	90    	345.92	306	594
78 	88    	345.29	306	598
79 	93    	347.07	306	580
80 	95    	326.54	306	501
81 	91    	330.63	306	637
82 	96    	335.54	306	494
83 	92    	339.89	306	637
84 	86    	338.4 	306	564
85 	94    	337.96	306	510
86 	92    	336.82	306	504
87 	91    	337.95	306	528
88 	97    	339.79	306	518
89 	88    	344.22	306	533
90 	92    	336.11	306	577
91 	94    	340.15	306	527
92 	91    	333.15	306	532
93 	93    	328.64	306	518
94 	93    	340.11	306	532
95 	94    	331.34	306	574
96 	91    	327   	306	541
97 	93    	340.59	306	524
98 	93    	333.74	306	504
99 	94    	344.77	306	659
100	87    	341.91	306	511
-------------------- 8 ---------------------
log: gen	nevals	mean  	min	max
0  	100   	547.99	428	678
1  	88    	503   	410	607
2  	94    	483.15	405	643
3  	91    	466.52	395	568
4  	88    	453.02	344	602
5  	97    	450.57	343	600
6  	90    	428.74	343	634
7  	87    	423.69	343	600
8  	91    	405.71	337	576
9  	91    	401.09	328	558
10 	92    	390.9 	328	605
11 	89    	379.95	328	658
12 	87    	375.1 	328	575
13 	91    	376.03	328	550
14 	85    	373.4 	328	543
15 	89    	369.62	328	519
16 	83    	365.1 	328	562
17 	92    	372.31	328	648
18 	94    	378.64	328	527
19 	91    	367.78	328	592
20 	87    	377.26	328	572
21 	92    	369.75	328	602
22 	93    	352.66	328	531
23 	93    	357.92	328	521
24 	90    	353.14	328	639
25 	93    	354.72	328	568
26 	87    	364.69	328	606
27 	87    	359.47	328	592
28 	92    	352.18	328	609
29 	90    	350.58	328	555
30 	94    	358.48	328	540
31 	92    	353.74	328	603
32 	95    	353.8 	328	567
33 	88    	358.67	328	552
34 	87    	357.55	328	636
35 	89    	349.51	328	576
36 	91    	351.09	328	552
37 	86    	355.89	328	559
38 	90    	353.64	328	512
39 	91    	361.14	328	579
40 	94    	356.72	328	529
41 	96    	359.98	328	519
42 	82    	355.59	328	554
43 	92    	354.29	328	575
44 	95    	355.39	328	575
45 	89    	356.85	328	602
46 	86    	349.14	328	529
47 	85    	355.55	328	547
48 	93    	352.24	328	641
49 	94    	361.43	328	541
50 	91    	359.7 	328	534
51 	90    	359.43	328	550
52 	89    	355.28	328	604
53 	96    	357.39	328	549
54 	89    	359.34	328	541
55 	88    	364.14	328	554
56 	88    	355.43	328	526
57 	89    	358.62	328	558
58 	90    	362.66	328	558
59 	90    	360.67	328	579
60 	88    	349.26	328	512
61 	92    	353.08	328	610
62 	91    	357.24	328	566
63 	92    	353.68	328	519
64 	94    	354.57	328	526
65 	97    	351.22	328	525
66 	94    	367.67	328	586
67 	96    	353.99	328	551
68 	89    	354.88	328	518
69 	95    	353.87	328	556
70 	96    	361.05	328	556
71 	87    	360.98	328	558
72 	92    	362.7 	328	603
73 	96    	362.54	328	526
74 	87    	349.09	328	512
75 	96    	364.09	328	609
76 	95    	355.28	328	522
77 	94    	350.75	328	490
78 	87    	358.12	328	595
79 	87    	351.95	328	526
80 	90    	368.18	328	592
81 	96    	359.5 	328	554
82 	93    	363.04	328	639
83 	94    	359.21	328	542
84 	88    	363.48	328	656
85 	94    	361.56	328	684
86 	90    	361.94	328	562
87 	94    	357.92	328	550
88 	89    	362.81	328	564
89 	94    	361.49	328	524
90 	90    	360.1 	328	542
91 	97    	352.84	328	524
92 	89    	352.6 	328	629
93 	83    	352.6 	328	526
94 	95    	358.87	328	565
95 	93    	349.08	328	526
96 	96    	368.27	328	526
97 	94    	354.9 	328	542
98 	88    	353.65	328	550
99 	94    	346.69	328	552
100	96    	352.15	328	532
-------------------- 9 ---------------------
log: gen	nevals	mean  	min	max
0  	100   	545.63	436	649
1  	90    	509.59	385	627
2  	97    	490.75	376	600
3  	93    	484.34	376	625
4  	92    	468.55	376	663
5  	94    	459.58	376	577
6  	90    	451.58	352	618
7  	92    	446.03	352	587
8  	92    	436.15	352	599
9  	91    	441.07	352	627
10 	92    	422.16	358	571
11 	92    	416.14	358	599
12 	96    	416.97	340	551
13 	88    	411.23	340	582
14 	90    	409.83	338	570
15 	93    	404.11	338	557
16 	92    	407.4 	340	567
17 	87    	404.41	340	560
18 	96    	394.94	312	557
19 	94    	384.19	312	617
20 	93    	367.69	312	546
21 	96    	368.77	312	537
22 	88    	349.09	312	514
23 	94    	349.51	312	620
24 	91    	345.47	312	510
25 	91    	345.06	312	519
26 	89    	350.41	312	574
27 	89    	345.82	312	527
