----------- single_objective_10Cent_50 -----------
-------------------- 1 ---------------------
log: gen	nevals	mean  	min	max
3  	62    	469.22	393	652
4  	66    	444.6 	334	615
5  	83    	438.43	334	575
6  	61    	419.37	334	562
7  	67    	413.43	334	562
8  	63    	406.89	334	577
9  	67    	375.43	311	515
10 	65    	357.92	311	547
11 	78    	356.37	311	540
12 	70    	341.18	311	542
13 	69    	335.11	311	571
14 	64    	333.29	311	517
15 	70    	325.15	311	495
16 	73    	336.89	311	587
17 	71    	328.51	311	489
18 	70    	319.09	311	468
19 	71    	327.01	311	545
20 	66    	321.96	311	528
21 	74    	334.05	311	517
22 	72    	335.81	311	516
23 	65    	330.55	311	584
24 	82    	341.31	311	609
25 	60    	319.68	311	558
26 	70    	339.93	311	571
27 	66    	319.94	311	495
28 	61    	320.53	311	449
29 	73    	322.85	311	641
30 	70    	331.52	311	587
31 	71    	320.7 	311	527
32 	80    	328.85	311	502
33 	74    	327.35	311	509
34 	63    	325.21	311	544
35 	70    	323.71	311	519
36 	67    	325.92	311	513
37 	62    	319.66	311	578
38 	69    	337.98	311	582
39 	66    	322.15	311	480
40 	68    	321.84	311	480
41 	70    	330.07	311	491
42 	64    	323.45	311	522
43 	77    	327.24	311	502
44 	64    	330.5 	311	587
45 	62    	329.32	311	567
46 	62    	333.06	311	589
47 	68    	337.07	311	564
48 	66    	330.73	311	543
49 	78    	329.59	311	616
50 	70    	324.68	311	565
51 	66    	328.65	311	502
52 	69    	331.65	311	571
53 	62    	329.88	311	539
54 	65    	329.63	311	567
55 	68    	322.42	311	484
56 	76    	334.77	311	573
57 	70    	320.86	311	450
58 	74    	338.03	311	535
59 	63    	329.36	311	500
60 	71    	333.11	311	523
61 	77    	338.25	311	623
62 	63    	323.49	311	542
63 	60    	333.48	311	548
64 	72    	327.05	311	502
65 	73    	330.97	311	587
66 	82    	331.7 	311	509
67 	75    	327.49	311	561
68 	65    	331.96	311	565
69 	66    	326.13	311	489
70 	69    	323.05	311	440
71 	68    	329.67	311	612
72 	79    	326.04	311	495
73 	59    	322.75	311	600
74 	74    	326.61	311	502
75 	73    	327.03	311	509
76 	62    	325.18	311	509
77 	85    	332.72	311	571
78 	65    	322.3 	311	529
79 	74    	327.3 	311	507
80 	65    	330   	311	516
81 	76    	321.31	311	502
82 	74    	335.04	311	583
83 	68    	326.66	311	509
84 	72    	326.59	311	531
85 	69    	331.59	311	509
86 	64    	321.43	311	489
87 	67    	315.92	311	443
88 	70    	325.71	311	495
89 	67    	324.38	311	518
90 	64    	323.27	311	486
91 	67    	321.26	311	495
92 	75    	324.42	311	490
93 	74    	329.43	311	542
94 	71    	332.78	311	518
95 	63    	321.62	311	500
96 	69    	330.23	311	565
97 	63    	328.61	311	509
98 	64    	322.27	311	558
99 	71    	323.98	311	526
100	76    	330.89	311	524
-------------------- 8 ---------------------
log: gen	nevals	mean  	min	max
0  	100   	543.28	381	670
1  	63    	496.97	420	638
2  	65    	477.53	390	613
3  	63    	457.03	389	593
4  	64    	450.29	362	582
5  	72    	449.43	362	578
6  	66    	432.66	362	584
7  	75    	425.27	362	571
8  	75    	420.21	362	556
9  	75    	398.73	362	576
10 	71    	393.2 	362	583
11 	81    	381.51	362	514
12 	77    	374.97	349	517
13 	67    	380.79	349	598
14 	72    	372.65	349	511
15 	63    	368.73	349	501
16 	75    	375.29	317	533
17 	76    	367.46	317	648
18 	72    	356.22	317	533
19 	72    	343.85	317	522
20 	78    	333.49	317	469
21 	67    	336.33	317	547
22 	59    	323.73	317	475
23 	75    	327.59	317	566
24 	85    	335.35	317	518
25 	71    	340.03	317	515
26 	59    	332.46	317	515
27 	70    	333.25	317	591
28 	66    	341.64	317	618
29 	78    	329.67	317	592
30 	80    	328.35	317	508
31 	75    	336.57	317	509
32 	68    	338.05	317	577
33 	80    	333.69	317	656
34 	77    	338.49	317	590
35 	76    	339.81	317	591
36 	68    	333.08	317	508
37 	73    	335.18	317	489
38 	73    	335.71	317	610
39 	61    	330.4 	317	515
40 	63    	327.16	317	508
41 	63    	334.91	317	605
42 	68    	335.79	317	495
43 	65    	326.73	317	472
44 	67    	333.29	317	508
45 	59    	332.24	317	544
46 	68    	346.04	317	587
47 	73    	328.23	317	547
48 	72    	333.42	317	495
49 	80    	328.6 	317	472
50 	72    	327.73	317	497
51 	68    	341.11	317	527
52 	61    	332.54	317	591
53 	70    	332.45	317	561
54 	82    	328.76	317	549
55 	73    	333.07	317	501
56 	78    	335.58	317	496
57 	68    	329.54	317	501
58 	62    	332.38	317	515
59 	63    	329.05	317	591
60 	66    	330.01	317	501
61 	77    	340.54	317	579
62 	71    	330.69	317	501
63 	63    	330.98	317	551
64 	69    	335.57	317	562
65 	73    	334.92	317	577
66 	65    	338.94	317	545
67 	68    	330.96	317	508
68 	74    	334.02	317	525
69 	61    	338.81	317	508
70 	61    	332.17	317	508
71 	68    	337.28	317	611
72 	79    	337.35	317	537
73 	70    	328.76	317	478
74 	75    	331.06	317	515
75 	66    	334.86	317	582
76 	78    	333.31	317	575
77 	62    	331.67	317	539
78 	79    	336.93	317	536
79 	76    	332.98	317	510
80 	81    	336.17	317	562
81 	70    	333.37	317	596
82 	71    	329.83	317	527
83 	69    	326.78	317	441
84 	69    	329.23	317	553
85 	67    	326.62	317	515
86 	72    	329.9 	317	533
87 	72    	332.79	317	520
88 	74    	335.69	317	564
89 	69    	334.37	317	515
90 	64    	332.68	317	546
91 	70    	331.06	317	515
92 	74    	329.63	317	479
93 	76    	333.99	317	581
94 	61    	329.68	317	495
95 	82    	335.83	317	522
96 	68    	334   	317	536
97 	61    	333.67	317	513
98 	63    	338.18	317	577
99 	72    	342.91	317	514
100	73    	345.04	317	530
-------------------- 9 ---------------------
log: gen	nevals	mean  	min	max
0  	100   	539.41	405	668
1  	68    	492.99	385	642
2  	74    	472.51	359	662
3  	74    	449.88	359	575
4  	69    	429.96	359	657
5  	61    	416.98	335	602
6  	70    	406.17	335	617
7  	68    	395.55	324	555
8  	63    	391.98	324	523
9  	82    	391.6 	324	551
10 	69    	376.92	319	637
11 	73    	366.66	319	528
12 	66    	347.65	319	503
13 	73    	348.69	319	552
14 	70    	345.6 	319	513
15 	76    	344.65	319	585
16 	67    	349.43	319	623
17 	69    	358.08	319	523
18 	65    	347.35	319	515
19 	64    	335.43	306	500
20 	66    	337.23	306	554
21 	71    	332.58	306	559
22 	65    	331.51	306	512
23 	80    	323.1 	306	471
24 	69    	326.27	306	504
25 	74    	327.86	306	504
26 	76    	323.4 	306	532
27 	85    	324.91	306	546
28 	60    	321.16	306	523
29 	62    	321.22	306	519
30 	77    	314.6 	306	461
31 	69    	326.42	306	497
32 	85    	325.65	306	558
33 	73    	320.01	306	473
34 	74    	326.7 	306	563
35 	72    	331.88	306	543
36 	73    	318.73	306	468
37 	68    	327.79	306	534
38 	69    	319.9 	306	529
39 	71    	322.46	306	547
40 	64    	315.9 	306	490
41 	66    	322.51	306	497
42 	69    	325.13	306	581
43 	72    	320.96	306	484
44 	73    	325.91	306	586
45 	69    	322.41	306	536
46 	70    	316.21	306	504
47 	66    	322.03	306	498
48 	71    	312.67	306	475
49 	63    	323.21	306	526
50 	67    	325.99	306	570
51 	65    	324.83	306	504
52 	61    	321.07	306	517
53 	66    	325.42	306	535
54 	70    	323.3 	306	569
55 	69    	319.86	306	507
56 	68    	323.27	306	549
57 	73    	325.29	306	534
58 	65    	317.05	306	468
59 	62    	322.74	306	504
60 	76    	326.39	306	538
61 	73    	322.2 	306	521
62 	82    	323.84	306	527
63 	69    	329.93	306	550
64 	68    	321.76	306	516
65 	71    	319.85	306	532
66 	71    	322.91	306	531
67 	74    	322.03	306	471
68 	60    	327.39	306	574
69 	67    	323.31	306	529
70 	65    	327.22	306	565
71 	69    	333.42	306	593
72 	76    	321.78	306	507
73 	71    	323.42	306	659
74 	72    	315.44	306	475
75 	65    	329.86	306	518
76 	62    	322.42	306	490
77 	72    	321.56	306	536
78 	65    	326.24	306	516
79 	61    	317.91	306	558
80 	79    	323.68	306	504
81 	75    	323.17	306	567
82 	77    	315.16	306	468
83 	72    	322.33	306	591
84 	71    	327.78	306	566
85 	62    	323.9 	306	604
86 	81    	316.1 	306	490
87 	67    	332.23	306	612
88 	74    	319.2 	306	521
89 	78    	322.21	306	557
90 	76    	325.21	306	532
91 	69    	315.68	306	490
92 	69    	323.78	306	490
93 	65    	318.4 	306	541
94 	71    	321.22	306	526
95 	69    	324.88	306	521
96 	62    	313.13	306	490
97 	69    	320.57	306	544
98 	60    	326.05	306	504
99 	75    	324.36	306	535
100	70    	320.46	306	527
-------------------- 10 ---------------------
log: gen	nevals	mean  	min	max
0  	100   	554   	418	643
1  	79    	511.88	395	622
2  	71    	485.72	366	674
3  	73    	460.14	366	571
4  	66    	431.98	355	568
5  	70    	410.92	327	560
6  	71    	400.43	317	597
7  	76    	386.19	317	553
8  	73    	376.1 	311	608
9  	76    	373.99	311	603
10 	78    	355.86	311	508
11 	74    	344.1 	311	515
12 	81    	331.28	311	515
13 	65    	332.56	311	528
14 	72    	325.49	311	512
15 	67    	326.34	311	498
16 	80    	326.84	311	482
17 	65    	324.34	311	489
18 	82    	329.42	311	529
19 	72    	327.03	311	538
20 	60    	326.04	311	550
21 	69    	321.76	311	509
22 	63    	322.74	311	509
23 	64    	320.31	311	473
24 	77    	323.78	311	509
25 	68    	328.89	311	558
26 	79    	324.53	311	509
27 	72    	328.15	311	584
28 	69    	332.08	311	580
29 	68    	328.01	311	585
30 	67    	323.05	311	480
31 	68    	325.6 	311	502
32 	68    	319.39	311	495
33 	68    	323.41	311	548
34 	73    	326.17	311	612
35 	67    	320.59	311	504
36 	70    	329.97	311	580
37 	66    	323.16	311	522
38 	76    	324.36	311	505
39 	68    	326.52	311	513
40 	72    	334.13	311	509
41 	69    	329.34	311	534
42 	72    	329.62	311	468
43 	88    	323.86	311	525
44 	67    	324.58	311	489
45 	74    	324.06	311	480
46 	74    	329.07	311	487
47 	70    	330.28	311	581
48 	73    	337   	311	606
49 	69    	326.08	311	511
50 	81    	332.73	311	502
